,Author,Year,year_sent
1,Breyer,1995,0.132868133
2,Breyer,1996,0.18915946
3,Breyer,1997,0.14055849
4,Breyer,1998,0.118099907
5,Breyer,1999,0.163783778
6,Breyer,2000,0.239734912
7,Breyer,2001,0.10507779
8,Breyer,2002,0.062069882
9,Breyer,2003,0.080658995
10,Breyer,2004,0.07971154
11,Breyer,2005,0.070553668
12,Breyer,2006,0.019626047
13,Breyer,2007,0.067763799
14,Breyer,2008,0.065603451
15,Breyer,2009,0.037265672
16,Breyer,2010,0.119059384
17,Breyer,2011,0.057243702
18,Breyer,2012,0.055813275
19,Breyer,2013,0.080819454
20,Breyer,2014,0.087646489
21,Breyer,2015,0.043906844
22,Breyer,2016,-0.054840424
23,Breyer,2017,-0.062803831
24,Breyer,2018,0.01440322
25,Ginsburg,1993,0.130189841
26,Ginsburg,1994,-0.007549661
27,Ginsburg,1995,0.005047334
28,Ginsburg,1996,0.128425429
29,Ginsburg,1997,0.185104992
30,Ginsburg,1998,0.07023001
31,Ginsburg,1999,0.131417334
32,Ginsburg,2000,0.158211762
33,Ginsburg,2001,0.041298556
34,Ginsburg,2002,0.115123593
35,Ginsburg,2003,0.039759836
36,Ginsburg,2004,0.066222675
37,Ginsburg,2005,0.068919958
38,Ginsburg,2006,0.054675316
39,Ginsburg,2007,0.035701545
40,Ginsburg,2008,0.062569078
41,Ginsburg,2009,0.010161729
42,Ginsburg,2010,0.03467896
43,Ginsburg,2011,0.019646946
44,Ginsburg,2012,0.0336117
45,Ginsburg,2013,0.073671622
46,Ginsburg,2014,0.096305527
47,Ginsburg,2015,0.051502578
48,Ginsburg,2016,0.042099725
49,Ginsburg,2017,0.037854117
50,Ginsburg,2018,-0.043488639
51,Kennedy,1988,0.12289928
52,Kennedy,1989,0.197942578
53,Kennedy,1990,0.223529218
54,Kennedy,1991,0.138761286
55,Kennedy,1992,0.157308353
56,Kennedy,1993,0.09320488
57,Kennedy,1994,0.095679008
58,Kennedy,1995,0.130690567
59,Kennedy,1996,0.035931667
60,Kennedy,1997,0.181864355
61,Kennedy,1998,0.082176498
62,Kennedy,1999,0.078108901
63,Kennedy,2000,0.226577361
64,Kennedy,2001,0.182887954
65,Kennedy,2002,0.146546346
66,Kennedy,2003,0.012196264
67,Kennedy,2004,0.097944971
68,Kennedy,2005,0.01983227
69,Kennedy,2006,0.119204671
70,Kennedy,2007,0.032585742
71,Kennedy,2008,0.055132368
72,Kennedy,2009,0.099470652
73,Kennedy,2010,0.114027948
74,Kennedy,2011,0.071675835
75,Kennedy,2012,0.028299217
76,Kennedy,2013,0.158845929
77,Kennedy,2014,0.120029587
78,Kennedy,2015,0.144743447
79,Kennedy,2016,0.050963289
80,Kennedy,2017,0.028829565
81,Kennedy,2018,0.55
82,OConnor,1981,-0.138548243
83,OConnor,1982,0.077922818
84,OConnor,1983,0.214743908
85,OConnor,1984,0.169752218
86,OConnor,1985,0.062639672
87,OConnor,1986,0.290955912
88,OConnor,1987,0.134982551
89,OConnor,1988,0.184121534
90,OConnor,1989,0.155173185
91,OConnor,1990,0.146834169
92,OConnor,1991,0.064858086
93,OConnor,1992,0.037724091
94,OConnor,1993,0.080739505
95,OConnor,1994,0.090336311
96,OConnor,1995,0.102445441
97,OConnor,1996,0.132385191
98,OConnor,1997,0.209363725
99,OConnor,1998,0.182882759
100,OConnor,1999,0.043143413
101,OConnor,2000,0.12280538
102,OConnor,2001,0.137140471
103,OConnor,2002,0.081676794
104,OConnor,2003,0.049304605
105,OConnor,2004,0.038228627
106,OConnor,2005,0.014331045
107,OConnor,2006,-0.008136483
108,Rehnquist,1972,0.119495277
109,Rehnquist,1973,0.230566707
110,Rehnquist,1974,0.141256067
111,Rehnquist,1975,0.23534034
112,Rehnquist,1976,0.102745907
113,Rehnquist,1977,0.14838141
114,Rehnquist,1978,0.154551767
115,Rehnquist,1979,0.175697422
116,Rehnquist,1980,0.217745664
117,Rehnquist,1981,0.122919427
118,Rehnquist,1982,0.184578171
119,Rehnquist,1983,0.114151438
120,Rehnquist,1984,0.09775441
121,Rehnquist,1985,0.015149813
122,Rehnquist,1986,0.090300042
123,Rehnquist,1987,0.144536582
124,Rehnquist,1988,0.21187925
125,Rehnquist,1989,0.184827739
126,Rehnquist,1990,0.169688272
127,Rehnquist,1991,0.097270598
128,Rehnquist,1992,-0.014165752
129,Rehnquist,1993,0.043381927
130,Rehnquist,1994,0.014389969
131,Rehnquist,1995,0.055303632
132,Rehnquist,1996,0.066398127
133,Rehnquist,1997,-0.017375095
134,Rehnquist,1998,0.078800431
135,Rehnquist,1999,0.032898683
136,Rehnquist,2000,0.164907874
137,Rehnquist,2001,0.132526067
138,Rehnquist,2002,-0.006092285
139,Rehnquist,2003,0.136115631
140,Rehnquist,2004,-0.089272231
141,Rehnquist,2005,0.075701659
142,Scalia,1987,0.147757746
143,Scalia,1988,0.216412609
144,Scalia,1989,0.173045501
145,Scalia,1990,0.156646118
146,Scalia,1991,0.033130922
147,Scalia,1992,0.067381491
148,Scalia,1993,0.04514022
149,Scalia,1994,0.045970685
150,Scalia,1995,0.037544541
151,Scalia,1996,0.107111978
152,Scalia,1997,0.044807484
153,Scalia,1998,0.081808558
154,Scalia,1999,0.085943839
155,Scalia,2000,0.204689367
156,Scalia,2001,0.130180557
157,Scalia,2002,0.099833449
158,Scalia,2003,0.103896584
159,Scalia,2004,0.138346701
160,Scalia,2005,0.162549805
161,Scalia,2006,-0.034423664
162,Scalia,2007,0.099500872
163,Scalia,2008,-0.061626475
164,Scalia,2009,0.095132399
165,Scalia,2010,-0.015985373
166,Scalia,2011,0.091024749
167,Scalia,2012,0.085734903
168,Scalia,2013,0.169598032
169,Scalia,2014,0.04581682
170,Scalia,2015,-0.018120118
171,Souter,1990,0.354191617
172,Souter,1991,0.038669124
173,Souter,1992,0.004274411
174,Souter,1993,-0.004069895
175,Souter,1994,0.211641229
176,Souter,1995,0.189999805
177,Souter,1996,0.07627873
178,Souter,1997,0.142218141
179,Souter,1998,0.051734324
180,Souter,1999,0.089287495
181,Souter,2000,0.162800283
182,Souter,2001,0.2877631
183,Souter,2002,0.091456559
184,Souter,2003,0.087880531
185,Souter,2004,0.122909478
186,Souter,2005,0.06072715
187,Souter,2006,-0.002887248
188,Souter,2007,0.056434489
189,Souter,2008,0.008879006
190,Souter,2009,0.091584843
191,Stevens,1976,0.253695179
192,Stevens,1977,0.261817574
193,Stevens,1978,0.205314356
194,Stevens,1979,0.196443191
195,Stevens,1980,0.191712045
196,Stevens,1981,0.210809789
197,Stevens,1982,0.170601068
198,Stevens,1983,0.224365421
199,Stevens,1984,0.209582708
200,Stevens,1985,0.183552905
201,Stevens,1986,0.166742715
202,Stevens,1987,0.144780729
203,Stevens,1988,0.221757945
204,Stevens,1989,0.155029493
205,Stevens,1990,0.223965795
206,Stevens,1991,0.076801937
207,Stevens,1992,0.078649882
208,Stevens,1993,0.127035146
209,Stevens,1994,0.080571703
210,Stevens,1995,0.395358345
211,Stevens,1996,0.060506882
212,Stevens,1997,0.114709753
213,Stevens,1998,0.144443929
214,Stevens,1999,0.063637663
215,Stevens,2000,0.207638021
216,Stevens,2001,0.16040759
217,Stevens,2002,0.130924005
218,Stevens,2003,0.116454644
219,Stevens,2004,0.132136091
220,Stevens,2005,0.095995978
221,Stevens,2006,0.126886124
222,Stevens,2007,0.067869228
223,Stevens,2008,0.134698638
224,Stevens,2009,0.063063568
225,Stevens,2010,0.106320623
226,Stevens,2013,0.164050633
227,Thomas,1992,0.031315837
228,Thomas,1993,0.115989458
229,Thomas,1994,0.047009465
230,Thomas,1995,0.146173666
231,Thomas,1996,0.16748812
232,Thomas,1997,0.083036734
233,Thomas,1998,0.041752321
234,Thomas,1999,0.06734249
235,Thomas,2000,0.250380743
236,Thomas,2001,0.040009935
237,Thomas,2002,0.07898328
238,Thomas,2003,0.170056947
239,Thomas,2004,0.054910982
240,Thomas,2005,0.106774971
241,Thomas,2006,-0.009614212
242,Thomas,2007,0.071382395
243,Thomas,2008,-0.072796993
244,Thomas,2009,0.04127558
245,Thomas,2010,0.011576938
246,Thomas,2011,-0.041070733
247,Thomas,2012,-0.065846907
248,Thomas,2013,0.065189185
249,Thomas,2014,0.090675601
250,Thomas,2015,0.052683582
251,Thomas,2016,0.060554233
252,Thomas,2017,0.068016625